timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740313459945,968,HTTP Request,200,OK,Thread Group 1-334,text,true,,33352,158,677,677,http://localhost:3001/characters,968,0,1
1740313459940,973,HTTP Request,200,OK,Thread Group 1-333,text,true,,33264,158,677,677,http://localhost:3001/characters,973,0,0
1740313460905,8,HTTP Request,200,OK,Thread Group 1-328,text,true,,33308,158,678,678,http://localhost:3001/characters,8,0,0
1740313460906,7,HTTP Request,201,Created,Thread Group 1-329,text,true,,283,228,678,678,http://localhost:3001/character,7,0,0
1740313459946,967,HTTP Request,200,OK,Thread Group 1-338,text,true,,33352,158,677,677,http://localhost:3001/characters,967,0,0
1740313459970,957,HTTP Request,200,OK,Thread Group 1-363,text,true,,33440,158,677,677,http://localhost:3001/characters,957,0,1
1740313459970,957,HTTP Request,200,OK,Thread Group 1-361,text,true,,33440,158,677,677,http://localhost:3001/characters,957,0,0
1740313459969,957,HTTP Request,200,OK,Thread Group 1-356,text,true,,33440,158,677,677,http://localhost:3001/characters,957,0,1
1740313459970,957,HTTP Request,200,OK,Thread Group 1-360,text,true,,33440,158,677,677,http://localhost:3001/characters,957,0,0
1740313459970,956,HTTP Request,200,OK,Thread Group 1-359,text,true,,33440,158,677,677,http://localhost:3001/characters,956,0,0
1740313459969,956,HTTP Request,200,OK,Thread Group 1-362,text,true,,33440,158,677,677,http://localhost:3001/characters,956,0,1
1740313459969,956,HTTP Request,200,OK,Thread Group 1-357,text,true,,33440,158,677,677,http://localhost:3001/characters,956,0,0
1740313459967,958,HTTP Request,200,OK,Thread Group 1-358,text,true,,33440,158,677,677,http://localhost:3001/characters,958,0,3
1740313459964,960,HTTP Request,200,OK,Thread Group 1-353,text,true,,33440,158,677,677,http://localhost:3001/characters,960,0,1
1740313459972,956,HTTP Request,200,OK,Thread Group 1-365,text,true,,33440,158,677,677,http://localhost:3001/characters,956,0,1
1740313459964,960,HTTP Request,200,OK,Thread Group 1-354,text,true,,33440,158,677,677,http://localhost:3001/characters,960,0,0
1740313459973,955,HTTP Request,200,OK,Thread Group 1-366,text,true,,33440,158,677,677,http://localhost:3001/characters,955,0,0
1740313459963,960,HTTP Request,200,OK,Thread Group 1-355,text,true,,33440,158,677,677,http://localhost:3001/characters,960,0,1
1740313459963,960,HTTP Request,200,OK,Thread Group 1-352,text,true,,33440,158,677,677,http://localhost:3001/characters,960,0,0
1740313459959,964,HTTP Request,200,OK,Thread Group 1-351,text,true,,33440,158,677,677,http://localhost:3001/characters,964,0,0
1740313459958,964,HTTP Request,200,OK,Thread Group 1-348,text,true,,33440,158,677,677,http://localhost:3001/characters,964,0,0
1740313459958,964,HTTP Request,200,OK,Thread Group 1-349,text,true,,33440,158,677,677,http://localhost:3001/characters,964,0,0
1740313459958,963,HTTP Request,200,OK,Thread Group 1-350,text,true,,33440,158,677,677,http://localhost:3001/characters,963,0,0
1740313459956,965,HTTP Request,200,OK,Thread Group 1-346,text,true,,33440,158,677,677,http://localhost:3001/characters,965,0,0
1740313459955,965,HTTP Request,200,OK,Thread Group 1-347,text,true,,33440,158,677,677,http://localhost:3001/characters,965,0,1
1740313459955,965,HTTP Request,200,OK,Thread Group 1-344,text,true,,33440,158,677,677,http://localhost:3001/characters,965,0,1
1740313459955,964,HTTP Request,200,OK,Thread Group 1-342,text,true,,33440,158,677,677,http://localhost:3001/characters,964,0,1
1740313459952,967,HTTP Request,200,OK,Thread Group 1-345,text,true,,33440,158,677,677,http://localhost:3001/characters,967,0,0
1740313459951,968,HTTP Request,200,OK,Thread Group 1-339,text,true,,33440,158,677,677,http://localhost:3001/characters,968,0,1
1740313459950,968,HTTP Request,200,OK,Thread Group 1-343,text,true,,33440,158,677,677,http://localhost:3001/characters,968,0,0
